model,layer,bin,bin_lo,bin_hi,n,probe_auroc,length_auroc
llama,17,2,4.0,10.0,206,0.9914302600472813,0.7386229314420805
llama,17,3,10.0,44.0,193,0.9791666666666666,0.453125
llama,18,0,1.0,2.0,283,0.543956043956044,0.5362637362637362
llama,18,1,2.0,4.0,118,0.9166666666666666,0.6657407407407407
llama,18,2,4.0,10.0,206,0.9920212765957447,0.7386229314420805
llama,18,3,10.0,44.0,193,0.984375,0.453125
llama,19,0,1.0,2.0,283,0.5633699633699634,0.5362637362637362
llama,19,1,2.0,4.0,118,0.887962962962963,0.6657407407407407
llama,19,2,4.0,10.0,206,0.9932033096926713,0.7386229314420805
llama,19,3,10.0,44.0,193,0.96875,0.453125
llama,20,0,1.0,2.0,283,0.5054945054945055,0.5362637362637362
llama,20,1,2.0,4.0,118,0.8777777777777778,0.6657407407407407
llama,20,2,4.0,10.0,206,0.9946808510638299,0.7386229314420805
llama,20,3,10.0,44.0,193,0.96875,0.453125
llama,21,0,1.0,2.0,283,0.517948717948718,0.5362637362637362
llama,21,1,2.0,4.0,118,0.8861111111111111,0.6657407407407407
llama,21,2,4.0,10.0,206,0.9943853427895981,0.7386229314420805
llama,21,3,10.0,44.0,193,0.9270833333333334,0.453125
llama,22,0,1.0,2.0,283,0.5340659340659341,0.5362637362637362
llama,22,1,2.0,4.0,118,0.8685185185185185,0.6657407407407407
llama,22,2,4.0,10.0,206,0.9920212765957446,0.7386229314420805
llama,22,3,10.0,44.0,193,0.90625,0.453125
llama,23,0,1.0,2.0,283,0.48351648351648346,0.5362637362637362
llama,23,1,2.0,4.0,118,0.887962962962963,0.6657407407407407
llama,23,2,4.0,10.0,206,0.9967494089834514,0.7386229314420805
llama,23,3,10.0,44.0,193,0.9322916666666666,0.453125
llama,24,0,1.0,2.0,283,0.4095238095238095,0.5362637362637362
llama,24,1,2.0,4.0,118,0.8694444444444445,0.6657407407407407
llama,24,2,4.0,10.0,206,0.993498817966903,0.7386229314420805
llama,24,3,10.0,44.0,193,0.84375,0.453125
llama,25,0,1.0,2.0,283,0.4472527472527473,0.5362637362637362
llama,25,1,2.0,4.0,118,0.8833333333333333,0.6657407407407407
llama,25,2,4.0,10.0,206,0.9943853427895981,0.7386229314420805
llama,25,3,10.0,44.0,193,0.90625,0.453125
llama,26,0,1.0,2.0,283,0.5487179487179488,0.5362637362637362
llama,26,1,2.0,4.0,118,0.8629629629629629,0.6657407407407407
llama,26,2,4.0,10.0,206,0.9932033096926713,0.7386229314420805
llama,26,3,10.0,44.0,193,0.9739583333333334,0.453125
llama,27,0,1.0,2.0,283,0.6366300366300366,0.5362637362637362
llama,27,1,2.0,4.0,118,0.8527777777777777,0.6657407407407407
llama,27,2,4.0,10.0,206,0.9964539007092198,0.7386229314420805
llama,27,3,10.0,44.0,193,0.9791666666666666,0.453125
llama,28,0,1.0,2.0,283,0.5406593406593406,0.5362637362637362
llama,28,1,2.0,4.0,118,0.8379629629629629,0.6657407407407407
llama,28,2,4.0,10.0,206,0.9875886524822695,0.7386229314420805
llama,28,3,10.0,44.0,193,0.9479166666666666,0.453125
